top - 20:54:04 up  3:56,  1 user,  load average: 0,49, 0,52, 0,56
Tasks: 225 total,   1 running, 223 sleeping,   0 stopped,   1 zombie
%Cpu(s):  0,0 us,  8,8 sy,  0,0 ni, 91,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7754,2 total,   2386,2 free,   2082,3 used,   3285,7 buff/cache
MiB Swap:   1560,0 total,   1560,0 free,      0,0 used.   4722,1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1285 wojtek    20   0  169912   5816   1664 S   0,0   0,1   0:00.00 (sd-pam)
   1291 wojtek     9 -11   42384   6916   5632 S   0,0   0,1   0:00.05 pipewire
   1292 wojtek    20   0   26144   6768   5512 S   0,0   0,1   0:00.07 pipewire-media-
   1293 wojtek     9 -11 2474120  27608  21828 S   0,0   0,3   6:32.14 pulseaudio
   1298 wojtek    20   0  243412   7912   6808 S   0,0   0,1   0:00.21 gnome-keyring-d
   1306 wojtek    20   0   10964   7068   4148 S   0,0   0,1   0:02.13 dbus-daemon
   1312 wojtek    20   0  243172   8272   7264 S   0,0   0,1   0:00.06 gvfsd
   1317 wojtek    20   0  380888   6816   6012 S   0,0   0,1   0:00.00 gvfsd-fuse
   1330 wojtek    20   0  539432   7800   7004 S   0,0   0,1   0:00.14 xdg-document-po
   1334 wojtek    20   0  238680   6372   5844 S   0,0   0,1   0:00.02 xdg-permission-
   1340 root      20   0    2792   2036   1920 S   0,0   0,0   0:00.00 fusermount3
   1344 wojtek    20   0  164916   6008   5568 S   0,0   0,1   0:00.00 gdm-wayland-ses
   1356 wojtek    20   0  225572  15960  14072 S   0,0   0,2   0:00.05 gnome-session-b
   1385 wojtek    39  19  783416  28344  19076 S   0,0   0,4   0:01.11 tracker-miner-f
   1405 wojtek    20   0   94436   5584   5120 S   0,0   0,1   0:00.00 gnome-session-c
   1417 wojtek    20   0  595368  17816  14932 S   0,0   0,2   0:00.37 gnome-session-b
   1422 wojtek    20   0  318416  10748   8768 S   0,0   0,1   0:00.38 gvfs-udisks2-vo
   1442 wojtek    20   0  317732   8360   7168 S   0,0   0,1   0:00.55 gvfs-afc-volume
   1453 wojtek    20   0  238984   6848   6144 S   0,0   0,1   0:00.05 gvfs-mtp-volume
   1459 wojtek    20   0  309580   8012   7144 S   0,0   0,1   0:00.03 at-spi-bus-laun
   1470 wojtek    20   0  240080   7276   6380 S   0,0   0,1   0:00.04 gvfs-gphoto2-vo
   1472 wojtek    20   0    8560   4664   4076 S   0,0   0,1   0:00.04 dbus-daemon
   1480 wojtek    20   0  239160   6852   6136 S   0,0   0,1   0:00.04 gvfs-goa-volume
   1486 wojtek    20   0  650408  40748  33216 S   0,0   0,5   0:00.16 goa-daemon
   1504 wojtek    20   0  340928  15600  13512 S   0,0   0,2   0:00.08 goa-identity-se
   1520 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
   1559 wojtek    20   0  583024  21316  18256 S   0,0   0,3   0:00.14 gnome-shell-cal
   1565 wojtek    20   0 1074696  26528  22332 S   0,0   0,3   0:00.17 evolution-sourc
   1573 wojtek    20   0  156932   6048   5360 S   0,0   0,1   0:00.03 dconf-service
   1574 wojtek    20   0 1187024  31848  26988 S   0,0   0,4   0:00.29 evolution-calen
   1587 wojtek    20   0  748596  29116  25360 S   0,0   0,4   0:00.16 evolution-addre
   1601 wojtek    20   0  317392   9268   7912 S   0,0   0,1   0:00.10 gvfsd-trash
   1615 wojtek    20   0  162680   7684   6912 S   0,0   0,1   0:00.05 at-spi2-registr
   1616 wojtek    20   0 2536408  28212  22860 S   0,0   0,4   0:00.15 gjs
   1625 wojtek    20   0    2888   1708   1600 S   0,0   0,0   0:00.00 sh
   1626 wojtek    20   0  312912   6912   6272 S   0,0   0,1   0:00.03 gsd-a11y-settin
   1629 wojtek    20   0  391388  12076   7056 S   0,0   0,2   0:37.83 ibus-daemon
   1630 wojtek    20   0  465164  27336  21312 S   0,0   0,3   0:00.33 gsd-color
   1639 wojtek    20   0  377956  16548  14496 S   0,0   0,2   0:00.07 gsd-datetime
   1643 wojtek    20   0  314612   8184   7220 S   0,0   0,1   0:00.29 gsd-housekeepin
   1644 wojtek    20   0  343068  22464  17528 S   0,0   0,3   0:00.18 gsd-keyboard
   1647 wojtek    20   0  645464  27200  21412 S   0,0   0,3   0:00.35 gsd-media-keys
   1651 wojtek    20   0  644244  27484  21376 S   0,0   0,3   0:00.44 gsd-power
   1653 wojtek    20   0  252384  11580  10052 S   0,0   0,1   0:00.05 gsd-print-notif
   1654 wojtek    20   0  460384   6884   6144 S   0,0   0,1   0:00.09 gsd-rfkill
   1658 wojtek    20   0  238816   6456   5940 S   0,0   0,1   0:00.04 gsd-screensaver
   1659 wojtek    20   0  468432  11004   9264 S   0,0   0,1   0:01.02 gsd-sharing
   1660 wojtek    20   0  388524   8516   7500 S   0,0   0,1   0:00.05 gsd-smartcard
   1669 wojtek    20   0  321828  10008   8736 S   0,0   0,1   0:00.04 gsd-sound
   1673 wojtek    20   0  343656  22932  17732 S   0,0   0,3   0:00.20 gsd-wacom
   1683 wojtek    20   0   76144  14244  12496 S   0,0   0,2   0:00.12 snapd-desktop-i
   1719 wojtek    20   0  232264   7788   6192 S   0,0   0,1   0:00.02 gsd-disk-utilit
   1724 wojtek    20   0  166008   7384   6716 S   0,0   0,1   0:00.00 ibus-memconf
